Date,Value,Anomaly,state
2021-01-01,46.6,0.3,Alabama
2021-02-01,46.7,-4.8,Alabama
2021-03-01,59.6,1.2,Alabama
2021-04-01,61.6,-1.4,Alabama
2021-05-01,69.4,-2.4,Alabama
2021-06-01,77.0,-1.3,Alabama
2021-07-01,79.3,-1.6,Alabama
2021-08-01,80.0,-0.6,Alabama
2021-09-01,73.9,-0.8,Alabama
2021-10-01,67.3,2.3,Alabama
2021-11-01,52.2,-3.6,Alabama
2021-12-01,56.8,6.0,Alabama
2022-01-01,43.9,-2.4,Alabama
2022-02-01,50.1,-1.4,Alabama
2022-03-01,57.4,-1.0,Alabama
2022-04-01,62.6,-0.4,Alabama
2022-05-01,73.5,1.7,Alabama
2022-06-01,80.4,2.1,Alabama
2022-07-01,81.7,0.8,Alabama
2022-08-01,79.3,-1.3,Alabama
2022-09-01,73.7,-1.0,Alabama
2022-10-01,61.2,-3.8,Alabama
2022-11-01,55.3,-0.5,Alabama
2022-12-01,49.1,-1.7,Alabama
2023-01-01,51.4,5.1,Alabama
2023-02-01,56.5,5.0,Alabama
2023-03-01,58.7,0.3,Alabama
2023-04-01,63.3,0.3,Alabama
2023-05-01,70.3,-1.5,Alabama
2023-06-01,76.6,-1.7,Alabama
2023-07-01,81.0,0.1,Alabama
2023-08-01,82.1,1.5,Alabama
2023-09-01,75.7,1.0,Alabama
2023-10-01,65.2,0.2,Alabama
2023-11-01,54.5,-1.3,Alabama
2023-12-01,48.8,-2.0,Alabama
2024-01-01,43.4,-2.9,Alabama
2024-02-01,52.6,1.1,Alabama
2024-03-01,58.0,-0.4,Alabama
2024-04-01,64.3,1.3,Alabama
2024-05-01,74.0,2.2,Alabama
2024-06-01,79.0,0.7,Alabama
2024-07-01,81.5,0.6,Alabama
2024-08-01,80.9,0.3,Alabama
2024-09-01,75.5,0.8,Alabama
2024-10-01,66.4,1.4,Alabama
2024-11-01,61.3,5.5,Alabama
2024-12-01,48.4,-2.4,Alabama
2021-01-01,10.6,3.8,Alaska
2021-02-01,1.0,-5.6,Alaska
2021-03-01,9.1,-4.3,Alaska
2021-04-01,23.9,0.6,Alaska
2021-05-01,40.3,0.7,Alaska
2021-06-01,50.9,-0.7,Alaska
2021-07-01,53.9,-0.1,Alaska
2021-08-01,49.4,-1.2,Alaska
2021-09-01,39.4,-1.9,Alaska
2021-10-01,27.9,-0.2,Alaska
2021-11-01,4.6,-9.1,Alaska
2021-12-01,6.8,-1.7,Alaska
2022-01-01,2.6,-4.2,Alaska
2022-02-01,8.2,1.6,Alaska
2022-03-01,16.7,3.3,Alaska
2022-04-01,24.9,1.6,Alaska
2022-05-01,40.1,0.5,Alaska
2022-06-01,52.7,1.1,Alaska
2022-07-01,53.3,-0.7,Alaska
2022-08-01,50.1,-0.5,Alaska
2022-09-01,42.7,1.4,Alaska
2022-10-01,28.8,0.7,Alaska
2022-11-01,16.3,2.6,Alaska
2022-12-01,7.1,-1.4,Alaska
2023-01-01,10.9,4.1,Alaska
2023-02-01,6.0,-0.6,Alaska
2023-03-01,13.6,0.2,Alaska
2023-04-01,16.8,-6.5,Alaska
2023-05-01,39.8,0.2,Alaska
2023-06-01,49.9,-1.7,Alaska
2023-07-01,56.1,2.1,Alaska
2023-08-01,53.2,2.6,Alaska
2023-09-01,40.8,-0.5,Alaska
2023-10-01,28.0,-0.1,Alaska
2023-11-01,20.4,6.7,Alaska
2023-12-01,5.8,-2.7,Alaska
2024-01-01,3.2,-3.6,Alaska
2024-02-01,11.1,4.5,Alaska
2024-03-01,14.3,0.9,Alaska
2024-04-01,27.6,4.3,Alaska
2024-05-01,38.3,-1.3,Alaska
2024-06-01,52.8,1.2,Alaska
2024-07-01,52.8,-1.2,Alaska
2024-08-01,49.7,-0.9,Alaska
2024-09-01,42.2,0.9,Alaska
2024-10-01,27.7,-0.4,Alaska
2024-11-01,13.4,-0.3,Alaska
2024-12-01,14.1,5.6,Alaska
2021-01-01,42.6,0.5,Arizona
2021-02-01,46.5,1.7,Arizona
2021-03-01,49.4,-0.2,Arizona
2021-04-01,61.2,1.7,Arizona
2021-05-01,67.9,0.5,Arizona
2021-06-01,80.6,2.6,Arizona
2021-07-01,81.4,-2.0,Arizona
2021-08-01,79.5,-0.7,Arizona
2021-09-01,74.8,-0.4,Arizona
2021-10-01,59.9,-3.6,Arizona
2021-11-01,55.8,5.0,Arizona
2021-12-01,45.6,0.2,Arizona
2022-01-01,43.5,1.4,Arizona
2022-02-01,44.0,-0.8,Arizona
2022-03-01,51.8,2.2,Arizona
2022-04-01,60.5,1.0,Arizona
2022-05-01,68.6,1.2,Arizona
2022-06-01,78.6,0.6,Arizona
2022-07-01,82.2,-1.2,Arizona
2022-08-01,79.0,-1.2,Arizona
2022-09-01,75.9,0.7,Arizona
2022-10-01,61.8,-1.7,Arizona
2022-11-01,46.1,-4.7,Arizona
2022-12-01,42.8,-2.6,Arizona
2023-01-01,40.3,-1.8,Arizona
2023-02-01,41.9,-2.9,Arizona
2023-03-01,47.2,-2.4,Arizona
2023-04-01,58.4,-1.1,Arizona
2023-05-01,66.5,-0.9,Arizona
2023-06-01,72.4,-5.6,Arizona
2023-07-01,85.4,2.0,Arizona
2023-08-01,80.7,0.5,Arizona
2023-09-01,73.6,-1.6,Arizona
2023-10-01,64.4,0.9,Arizona
2023-11-01,52.6,1.8,Arizona
2023-12-01,45.4,0.0,Arizona
2024-01-01,42.0,-0.1,Arizona
2024-02-01,46.7,1.9,Arizona
2024-03-01,49.8,0.2,Arizona
2024-04-01,57.9,-1.6,Arizona
2024-05-01,66.5,-0.9,Arizona
2024-06-01,80.4,2.4,Arizona
2024-07-01,84.4,1.0,Arizona
2024-08-01,81.4,1.2,Arizona
2024-09-01,76.3,1.1,Arizona
2024-10-01,67.9,4.4,Arizona
2024-11-01,48.5,-2.3,Arizona
2024-12-01,47.9,2.5,Arizona
2021-01-01,41.4,0.7,Arkansas
2021-02-01,34.8,-9.6,Arkansas
2021-03-01,55.2,1.3,Arkansas
2021-04-01,58.4,-2.1,Arkansas
2021-05-01,66.8,-3.4,Arkansas
2021-06-01,76.9,-0.8,Arkansas
2021-07-01,79.4,-1.7,Arkansas
2021-08-01,80.7,0.1,Arkansas
2021-09-01,74.3,0.2,Arkansas
2021-10-01,65.5,1.3,Arkansas
2021-11-01,49.4,-2.5,Arkansas
2021-12-01,53.4,6.2,Arkansas
2022-01-01,38.7,-2.0,Arkansas
2022-02-01,42.2,-2.2,Arkansas
2022-03-01,52.1,-1.8,Arkansas
2022-04-01,59.9,-0.6,Arkansas
2022-05-01,71.0,0.8,Arkansas
2022-06-01,78.2,0.5,Arkansas
2022-07-01,84.1,3.0,Arkansas
2022-08-01,79.4,-1.2,Arkansas
2022-09-01,73.8,-0.3,Arkansas
2022-10-01,61.4,-2.8,Arkansas
2022-11-01,49.8,-2.1,Arkansas
2022-12-01,43.2,-4.0,Arkansas
2023-01-01,46.5,5.8,Arkansas
2023-02-01,48.8,4.4,Arkansas
2023-03-01,53.0,-0.9,Arkansas
2023-04-01,60.3,-0.2,Arkansas
2023-05-01,70.0,-0.2,Arkansas
2023-06-01,77.3,-0.4,Arkansas
2023-07-01,81.0,-0.1,Arkansas
2023-08-01,81.7,1.1,Arkansas
2023-09-01,74.8,0.7,Arkansas
2023-10-01,64.0,-0.2,Arkansas
2023-11-01,51.7,-0.2,Arkansas
2023-12-01,46.0,-1.2,Arkansas
2024-01-01,36.1,-4.6,Arkansas
2024-02-01,51.6,7.2,Arkansas
2024-03-01,55.3,1.4,Arkansas
2024-04-01,63.3,2.8,Arkansas
2024-05-01,72.8,2.6,Arkansas
2024-06-01,78.3,0.6,Arkansas
2024-07-01,79.7,-1.4,Arkansas
2024-08-01,80.5,-0.1,Arkansas
2024-09-01,73.4,-0.7,Arkansas
2024-10-01,65.9,1.7,Arkansas
2024-11-01,56.5,4.6,Arkansas
2024-12-01,46.3,-0.9,Arkansas
2021-01-01,45.5,0.5,California
2021-02-01,47.4,1.4,California
2021-03-01,48.2,-0.3,California
2021-04-01,58.2,2.0,California
2021-05-01,64.5,1.5,California
2021-06-01,74.9,2.9,California
2021-07-01,79.8,0.3,California
2021-08-01,77.0,0.1,California
2021-09-01,72.2,0.5,California
2021-10-01,58.2,-4.2,California
2021-11-01,54.8,4.3,California
2021-12-01,43.5,-2.4,California
2022-01-01,46.2,1.2,California
2022-02-01,47.4,1.4,California
2022-03-01,52.9,4.4,California
2022-04-01,55.9,-0.3,California
2022-05-01,62.4,-0.6,California
2022-06-01,72.0,0.0,California
2022-07-01,77.6,-1.9,California
2022-08-01,78.4,1.5,California
2022-09-01,73.8,2.1,California
2022-10-01,63.7,1.3,California
2022-11-01,46.8,-3.7,California
2022-12-01,43.5,-2.4,California
2023-01-01,42.6,-2.4,California
2023-02-01,42.7,-3.3,California
2023-03-01,44.2,-4.3,California
2023-04-01,55.3,-0.9,California
2023-05-01,62.0,-1.0,California
2023-06-01,67.0,-5.0,California
2023-07-01,79.0,-0.5,California
2023-08-01,75.9,-1.0,California
2023-09-01,68.1,-3.6,California
2023-10-01,62.2,-0.2,California
2023-11-01,51.9,1.4,California
2023-12-01,48.1,2.2,California
2024-01-01,45.7,0.7,California
2024-02-01,46.3,0.3,California
2024-03-01,48.8,0.3,California
2024-04-01,55.3,-0.9,California
2024-05-01,63.1,0.1,California
2024-06-01,74.1,2.1,California
2024-07-01,81.5,2.0,California
2024-08-01,76.1,-0.8,California
2024-09-01,72.5,0.8,California
2024-10-01,65.5,3.1,California
2024-11-01,48.4,-2.1,California
2024-12-01,48.4,2.5,California
2021-01-01,26.7,1.2,Colorado
2021-02-01,24.8,-2.0,Colorado
2021-03-01,35.8,1.4,Colorado
2021-04-01,43.1,-0.3,Colorado
2021-05-01,52.9,-0.1,Colorado
2021-06-01,65.7,1.5,Colorado
2021-07-01,70.0,0.5,Colorado
2021-08-01,67.4,-0.3,Colorado
2021-09-01,62.4,0.6,Colorado
2021-10-01,47.8,-1.2,Colorado
2021-11-01,40.7,5.1,Colorado
2021-12-01,32.4,2.3,Colorado
2022-01-01,26.7,1.2,Colorado
2022-02-01,25.1,-1.7,Colorado
2022-03-01,35.1,0.7,Colorado
2022-04-01,43.9,0.5,Colorado
2022-05-01,53.4,0.4,Colorado
2022-06-01,64.4,0.2,Colorado
2022-07-01,70.4,0.9,Colorado
2022-08-01,67.8,0.1,Colorado
2022-09-01,62.5,0.7,Colorado
2022-10-01,47.7,-1.3,Colorado
2022-11-01,31.6,-4.0,Colorado
2022-12-01,25.7,-4.4,Colorado
2023-01-01,23.6,-1.9,Colorado
2023-02-01,24.9,-1.9,Colorado
2023-03-01,30.4,-4.0,Colorado
2023-04-01,41.2,-2.2,Colorado
2023-05-01,54.4,1.4,Colorado
2023-06-01,59.9,-4.3,Colorado
2023-07-01,69.4,-0.1,Colorado
2023-08-01,67.7,0.0,Colorado
2023-09-01,60.5,-1.3,Colorado
2023-10-01,47.8,-1.2,Colorado
2023-11-01,37.0,1.4,Colorado
2023-12-01,30.3,0.2,Colorado
2024-01-01,24.8,-0.7,Colorado
2024-02-01,32.2,5.4,Colorado
2024-03-01,36.2,1.8,Colorado
2024-04-01,45.2,1.8,Colorado
2024-05-01,51.3,-1.7,Colorado
2024-06-01,66.7,2.5,Colorado
2024-07-01,68.2,-1.3,Colorado
2024-08-01,67.8,0.1,Colorado
2024-09-01,61.6,-0.2,Colorado
2024-10-01,52.7,3.7,Colorado
2024-11-01,32.9,-2.7,Colorado
2024-12-01,32.0,1.9,Colorado
2021-01-01,29.2,-1.3,Connecticut
2021-02-01,28.5,-3.1,Connecticut
2021-03-01,39.3,-0.6,Connecticut
2021-04-01,48.7,-0.2,Connecticut
2021-05-01,57.8,-1.3,Connecticut
2021-06-01,69.2,1.5,Connecticut
2021-07-01,71.1,-2.6,Connecticut
2021-08-01,72.8,1.0,Connecticut
2021-09-01,65.2,0.8,Connecticut
2021-10-01,56.8,1.9,Connecticut
2021-11-01,41.0,-2.0,Connecticut
2021-12-01,37.0,1.8,Connecticut
2022-01-01,24.2,-6.3,Connecticut
2022-02-01,30.6,-1.0,Connecticut
2022-03-01,39.0,-0.9,Connecticut
2022-04-01,47.6,-1.3,Connecticut
2022-05-01,60.7,1.6,Connecticut
2022-06-01,66.3,-1.4,Connecticut
2022-07-01,74.2,0.5,Connecticut
2022-08-01,74.5,2.7,Connecticut
2022-09-01,63.6,-0.8,Connecticut
2022-10-01,52.5,-2.4,Connecticut
2022-11-01,45.2,2.2,Connecticut
2022-12-01,33.5,-1.7,Connecticut
2023-01-01,37.1,6.6,Connecticut
2023-02-01,33.7,2.1,Connecticut
2023-03-01,38.8,-1.1,Connecticut
2023-04-01,51.0,2.1,Connecticut
2023-05-01,56.9,-2.2,Connecticut
2023-06-01,65.4,-2.3,Connecticut
2023-07-01,74.8,1.1,Connecticut
2023-08-01,69.5,-2.3,Connecticut
2023-09-01,65.1,0.7,Connecticut
2023-10-01,56.1,1.2,Connecticut
2023-11-01,39.6,-3.4,Connecticut
2023-12-01,38.5,3.3,Connecticut
2024-01-01,31.3,0.8,Connecticut
2024-02-01,33.4,1.8,Connecticut
2024-03-01,42.3,2.4,Connecticut
2024-04-01,48.4,-0.5,Connecticut
2024-05-01,61.1,2.0,Connecticut
2024-06-01,70.0,2.3,Connecticut
2024-07-01,74.6,0.9,Connecticut
2024-08-01,70.2,-1.6,Connecticut
2024-09-01,63.6,-0.8,Connecticut
2024-10-01,54.2,-0.7,Connecticut
2024-11-01,46.0,3.0,Connecticut
2024-12-01,31.8,-3.4,Connecticut
2021-01-01,36.2,-0.9,Delaware
2021-02-01,35.6,-3.6,Delaware
2021-03-01,47.6,0.5,Delaware
2021-04-01,55.3,-0.3,Delaware
2021-05-01,63.3,-0.3,Delaware
2021-06-01,73.8,1.1,Delaware
2021-07-01,77.7,-0.6,Delaware
2021-08-01,76.9,0.7,Delaware
2021-09-01,70.1,0.7,Delaware
2021-10-01,63.2,3.8,Delaware
2021-11-01,45.1,-2.8,Delaware
2021-12-01,44.0,3.0,Delaware
2022-01-01,31.6,-5.5,Delaware
2022-02-01,39.1,-0.1,Delaware
2022-03-01,47.2,0.1,Delaware
2022-04-01,53.2,-2.4,Delaware
2022-05-01,65.1,1.5,Delaware
2022-06-01,72.4,-0.3,Delaware
2022-07-01,79.0,0.7,Delaware
2022-08-01,78.1,1.9,Delaware
2022-09-01,69.3,-0.1,Delaware
2022-10-01,55.8,-3.6,Delaware
2022-11-01,49.8,1.9,Delaware
2022-12-01,37.8,-3.2,Delaware
2023-01-01,43.1,6.0,Delaware
2023-02-01,42.6,3.4,Delaware
2023-03-01,45.4,-1.7,Delaware
2023-04-01,58.4,2.8,Delaware
2023-05-01,61.4,-2.2,Delaware
2023-06-01,70.1,-2.6,Delaware
2023-07-01,78.3,0.0,Delaware
2023-08-01,75.3,-0.9,Delaware
2023-09-01,69.5,0.1,Delaware
2023-10-01,59.6,0.2,Delaware
2023-11-01,45.8,-2.1,Delaware
2023-12-01,43.5,2.5,Delaware
2024-01-01,37.3,0.2,Delaware
2024-02-01,39.5,0.3,Delaware
2024-03-01,48.3,1.2,Delaware
2024-04-01,55.6,0.0,Delaware
2024-05-01,64.5,0.9,Delaware
2024-06-01,74.5,1.8,Delaware
2024-07-01,78.1,-0.2,Delaware
2024-08-01,74.6,-1.6,Delaware
2024-09-01,68.8,-0.6,Delaware
2024-10-01,58.9,-0.5,Delaware
2024-11-01,51.0,3.1,Delaware
2024-12-01,38.7,-2.3,Delaware
2021-01-01,58.7,-0.5,Florida
2021-02-01,63.7,0.0,Florida
2021-03-01,67.8,-0.7,Florida
2021-04-01,69.9,-1.5,Florida
2021-05-01,76.1,-1.3,Florida
2021-06-01,80.7,-0.8,Florida
2021-07-01,81.9,-1.5,Florida
2021-08-01,82.6,-1.0,Florida
2021-09-01,79.7,-0.7,Florida
2021-10-01,75.3,1.6,Florida
2021-11-01,63.4,-4.1,Florida
2021-12-01,66.5,3.9,Florida
2022-01-01,57.6,-1.6,Florida
2022-02-01,63.2,-0.5,Florida
2022-03-01,68.6,0.1,Florida
2022-04-01,72.0,0.6,Florida
2022-05-01,77.7,0.3,Florida
2022-06-01,82.0,0.5,Florida
2022-07-01,83.2,-0.2,Florida
2022-08-01,83.0,-0.6,Florida
2022-09-01,80.0,-0.4,Florida
2022-10-01,71.8,-1.9,Florida
2022-11-01,69.7,2.2,Florida
2022-12-01,61.5,-1.1,Florida
2023-01-01,61.8,2.6,Florida
2023-02-01,67.4,3.7,Florida
2023-03-01,69.1,0.6,Florida
2023-04-01,73.2,1.8,Florida
2023-05-01,76.2,-1.2,Florida
2023-06-01,80.6,-0.9,Florida
2023-07-01,84.1,0.7,Florida
2023-08-01,84.9,1.3,Florida
2023-09-01,80.5,0.1,Florida
2023-10-01,73.4,-0.3,Florida
2023-11-01,66.7,-0.8,Florida
2023-12-01,61.3,-1.3,Florida
2024-01-01,58.7,-0.5,Florida
2024-02-01,60.5,-3.2,Florida
2024-03-01,68.4,-0.1,Florida
2024-04-01,70.3,-1.1,Florida
2024-05-01,79.6,2.2,Florida
2024-06-01,82.6,1.1,Florida
2024-07-01,84.2,0.8,Florida
2024-08-01,83.7,0.1,Florida
2024-09-01,81.5,1.1,Florida
2024-10-01,74.4,0.7,Florida
2024-11-01,70.1,2.6,Florida
2024-12-01,60.9,-1.7,Florida
2021-01-01,47.7,-0.1,Georgia
2021-02-01,49.5,-3.7,Georgia
2021-03-01,59.9,0.5,Georgia
2021-04-01,62.1,-1.5,Georgia
2021-05-01,69.4,-2.1,Georgia
2021-06-01,77.0,-1.1,Georgia
2021-07-01,79.3,-1.7,Georgia
2021-08-01,80.0,-0.4,Georgia
2021-09-01,73.8,-0.7,Georgia
2021-10-01,67.2,2.0,Georgia
2021-11-01,52.7,-4.1,Georgia
2021-12-01,56.6,5.3,Georgia
2022-01-01,45.9,-1.9,Georgia
2022-02-01,52.8,-0.4,Georgia
2022-03-01,59.0,-0.4,Georgia
2022-04-01,63.0,-0.6,Georgia
2022-05-01,73.2,1.7,Georgia
2022-06-01,80.1,2.0,Georgia
2022-07-01,81.2,0.2,Georgia
2022-08-01,79.5,-0.9,Georgia
2022-09-01,74.0,-0.5,Georgia
2022-10-01,62.1,-3.1,Georgia
2022-11-01,57.5,0.7,Georgia
2022-12-01,49.1,-2.2,Georgia
2023-01-01,51.5,3.7,Georgia
2023-02-01,58.1,4.9,Georgia
2023-03-01,59.4,0.0,Georgia
2023-04-01,64.1,0.5,Georgia
2023-05-01,69.6,-1.9,Georgia
2023-06-01,75.8,-2.3,Georgia
2023-07-01,81.6,0.6,Georgia
2023-08-01,81.7,1.3,Georgia
2023-09-01,74.6,0.1,Georgia
2023-10-01,64.9,-0.3,Georgia
2023-11-01,55.7,-1.1,Georgia
2023-12-01,50.2,-1.1,Georgia
2024-01-01,46.1,-1.7,Georgia
2024-02-01,52.5,-0.7,Georgia
2024-03-01,59.2,-0.2,Georgia
2024-04-01,65.1,1.5,Georgia
2024-05-01,73.6,2.1,Georgia
2024-06-01,79.6,1.5,Georgia
2024-07-01,82.0,1.0,Georgia
2024-08-01,80.4,0.0,Georgia
2024-09-01,75.5,1.0,Georgia
2024-10-01,66.4,1.2,Georgia
2024-11-01,61.3,4.5,Georgia
2024-12-01,49.1,-2.2,Georgia
2021-01-01,26.6,1.7,Idaho
2021-02-01,25.4,-0.7,Idaho
2021-03-01,34.8,1.6,Idaho
2021-04-01,42.0,1.9,Idaho
2021-05-01,49.8,0.4,Idaho
2021-06-01,65.1,5.1,Idaho
2021-07-01,71.8,2.0,Idaho
2021-08-01,63.9,-2.3,Idaho
2021-09-01,57.2,-1.3,Idaho
2021-10-01,45.2,-1.7,Idaho
2021-11-01,36.7,4.4,Idaho
2021-12-01,26.5,-0.8,Idaho
2022-01-01,23.9,-1.0,Idaho
2022-02-01,24.5,-1.6,Idaho
2022-03-01,36.3,3.1,Idaho
2022-04-01,37.2,-2.9,Idaho
2022-05-01,46.4,-3.0,Idaho
2022-06-01,57.3,-2.7,Idaho
2022-07-01,69.4,-0.4,Idaho
2022-08-01,69.4,3.2,Idaho
2022-09-01,60.8,2.3,Idaho
2022-10-01,48.0,1.1,Idaho
2022-11-01,26.4,-5.9,Idaho
2022-12-01,22.8,-4.5,Idaho
2023-01-01,23.2,-1.7,Idaho
2023-02-01,23.6,-2.5,Idaho
2023-03-01,27.5,-5.7,Idaho
2023-04-01,38.6,-1.5,Idaho
2023-05-01,54.3,4.9,Idaho
2023-06-01,57.2,-2.8,Idaho
2023-07-01,68.6,-1.2,Idaho
2023-08-01,65.8,-0.4,Idaho
2023-09-01,56.6,-1.9,Idaho
2023-10-01,45.9,-1.0,Idaho
2023-11-01,34.3,2.0,Idaho
2023-12-01,29.6,2.3,Idaho
2024-01-01,25.7,0.8,Idaho
2024-02-01,30.8,4.7,Idaho
2024-03-01,34.0,0.8,Idaho
2024-04-01,42.5,2.4,Idaho
2024-05-01,47.2,-2.2,Idaho
2024-06-01,60.2,0.2,Idaho
2024-07-01,69.4,-0.4,Idaho
2024-08-01,65.6,-0.6,Idaho
2024-09-01,59.5,1.0,Idaho
2024-10-01,48.4,1.5,Idaho
2024-11-01,31.8,-0.5,Idaho
2024-12-01,30.4,3.1,Idaho
2021-01-01,29.5,1.3,Illinois
2021-02-01,20.8,-10.6,Illinois
2021-03-01,46.2,1.9,Illinois
2021-04-01,52.5,-0.1,Illinois
2021-05-01,61.1,-3.3,Illinois
2021-06-01,74.1,0.7,Illinois
2021-07-01,74.6,-0.3,Illinois
2021-08-01,75.5,1.4,Illinois
2021-09-01,69.6,1.2,Illinois
2021-10-01,60.2,3.0,Illinois
2021-11-01,40.9,-2.5,Illinois
2021-12-01,40.2,4.2,Illinois
2022-01-01,22.2,-6.0,Illinois
2022-02-01,28.0,-3.4,Illinois
2022-03-01,43.1,-1.2,Illinois
2022-04-01,49.6,-3.0,Illinois
2022-05-01,65.3,0.9,Illinois
2022-06-01,73.5,0.1,Illinois
2022-07-01,75.8,0.9,Illinois
2022-08-01,73.6,-0.5,Illinois
2022-09-01,67.0,-1.4,Illinois
2022-10-01,53.3,-3.9,Illinois
2022-11-01,43.0,-0.4,Illinois
2022-12-01,30.3,-5.7,Illinois
2023-01-01,34.4,6.2,Illinois
2023-02-01,36.3,4.9,Illinois
2023-03-01,40.9,-3.4,Illinois
2023-04-01,53.4,0.8,Illinois
2023-05-01,64.2,-0.2,Illinois
2023-06-01,71.5,-1.9,Illinois
2023-07-01,75.3,0.4,Illinois
2023-08-01,73.5,-0.6,Illinois
2023-09-01,68.3,-0.1,Illinois
2023-10-01,56.6,-0.6,Illinois
2023-11-01,42.9,-0.5,Illinois
2023-12-01,39.6,3.6,Illinois
2024-01-01,26.5,-1.7,Illinois
2024-02-01,40.6,9.2,Illinois
2024-03-01,46.8,2.5,Illinois
2024-04-01,54.7,2.1,Illinois
2024-05-01,67.0,2.6,Illinois
2024-06-01,74.4,1.0,Illinois
2024-07-01,74.0,-0.9,Illinois
2024-08-01,73.6,-0.5,Illinois
2024-09-01,68.7,0.3,Illinois
2024-10-01,58.6,1.4,Illinois
2024-11-01,46.6,3.2,Illinois
2024-12-01,34.0,-2.0,Illinois
2021-01-01,30.5,0.7,Indiana
2021-02-01,23.7,-9.2,Indiana
2021-03-01,45.8,1.6,Indiana
2021-04-01,51.9,-0.3,Indiana
2021-05-01,59.6,-3.7,Indiana
2021-06-01,72.7,1.0,Indiana
2021-07-01,73.7,-0.4,Indiana
2021-08-01,75.0,1.8,Indiana
2021-09-01,68.4,0.9,Indiana
2021-10-01,60.2,3.4,Indiana
2021-11-01,40.0,-3.4,Indiana
2021-12-01,40.5,3.8,Indiana
2022-01-01,24.3,-5.5,Indiana
2022-02-01,29.8,-3.1,Indiana
2022-03-01,43.7,-0.5,Indiana
2022-04-01,49.3,-2.9,Indiana
2022-05-01,64.9,1.6,Indiana
2022-06-01,72.1,0.4,Indiana
2022-07-01,75.3,1.2,Indiana
2022-08-01,73.0,-0.2,Indiana
2022-09-01,66.1,-1.4,Indiana
2022-10-01,52.8,-4.0,Indiana
2022-11-01,43.1,-0.3,Indiana
2022-12-01,31.7,-5.0,Indiana
2023-01-01,36.4,6.6,Indiana
2023-02-01,38.3,5.4,Indiana
2023-03-01,40.9,-3.3,Indiana
2023-04-01,52.7,0.5,Indiana
